symbol,exchange,missing_date,missing_type
000001,,2025-11-28,WINDOW_START
000002,,2025-11-28,WINDOW_START
000004,,2025-11-28,WINDOW_START
000006,,2025-11-28,WINDOW_START
000007,,2025-11-28,WINDOW_START
000008,,2025-11-28,WINDOW_START
000009,,2025-11-28,WINDOW_START
000010,,2025-11-28,WINDOW_START
000011,,2025-11-28,WINDOW_START
000012,,2025-11-28,WINDOW_START
000014,,2025-11-28,WINDOW_START
000016,,2025-11-28,WINDOW_START
000017,,2025-11-28,WINDOW_START
000019,,2025-11-28,WINDOW_START
000020,,2025-11-28,WINDOW_START
000021,,2025-11-28,WINDOW_START
000025,,2025-11-28,WINDOW_START
000026,,2025-11-28,WINDOW_START
000027,,2025-11-28,WINDOW_START
000028,,2025-11-28,WINDOW_START
000029,,2025-11-28,WINDOW_START
000030,,2025-11-28,WINDOW_START
000031,,2025-11-28,WINDOW_START
000032,,2025-11-28,WINDOW_START
000034,,2025-11-28,WINDOW_START
000035,,2025-11-28,WINDOW_START
000036,,2025-11-28,WINDOW_START
000037,,2025-11-28,WINDOW_START
000039,,2025-11-28,WINDOW_START
000042,,2025-11-28,WINDOW_START
000045,,2025-11-28,WINDOW_START
000048,,2025-11-28,WINDOW_START
000049,,2025-11-28,WINDOW_START
000050,,2025-11-28,WINDOW_START
000055,,2025-11-28,WINDOW_START
000056,,2025-11-28,WINDOW_START
000058,,2025-11-28,WINDOW_START
000059,,2025-11-28,WINDOW_START
000060,,2025-11-28,WINDOW_START
000061,,2025-11-28,WINDOW_START
000062,,2025-11-28,WINDOW_START
000063,,2025-11-28,WINDOW_START
000065,,2025-11-28,WINDOW_START
000066,,2025-11-28,WINDOW_START
000068,,2025-11-28,WINDOW_START
000069,,2025-11-28,WINDOW_START
000070,,2025-11-28,WINDOW_START
000078,,2025-11-28,WINDOW_START
000088,,2025-11-28,WINDOW_START
000089,,2025-11-28,WINDOW_START
000090,,2025-11-28,WINDOW_START
000096,,2025-11-28,WINDOW_START
000099,,2025-11-28,WINDOW_START
000100,,2025-11-28,WINDOW_START
000151,,2025-11-28,WINDOW_START
000153,,2025-11-28,WINDOW_START
000155,,2025-11-28,WINDOW_START
000156,,2025-11-28,WINDOW_START
000157,,2025-11-28,WINDOW_START
000158,,2025-11-28,WINDOW_START
000159,,2025-11-28,WINDOW_START
000166,,2025-11-28,WINDOW_START
000301,,2025-11-28,WINDOW_START
000333,,2025-11-28,WINDOW_START
000338,,2025-11-28,WINDOW_START
000400,,2025-11-28,WINDOW_START
000401,,2025-11-28,WINDOW_START
000402,,2025-11-28,WINDOW_START
000403,,2025-11-28,WINDOW_START
000404,,2025-11-28,WINDOW_START
000407,,2025-11-28,WINDOW_START
000408,,2025-11-28,WINDOW_START
000409,,2025-11-28,WINDOW_START
000410,,2025-11-28,WINDOW_START
000411,,2025-11-28,WINDOW_START
000415,,2025-11-28,WINDOW_START
000417,,2025-11-28,WINDOW_START
000419,,2025-11-28,WINDOW_START
000420,,2025-11-28,WINDOW_START
000421,,2025-11-28,WINDOW_START
000422,,2025-11-28,WINDOW_START
000423,,2025-11-28,WINDOW_START
000425,,2025-11-28,WINDOW_START
000426,,2025-11-28,WINDOW_START
000428,,2025-11-28,WINDOW_START
000429,,2025-11-28,WINDOW_START
000430,,2025-11-28,WINDOW_START
000488,,2025-11-28,WINDOW_START
000498,,2025-11-28,WINDOW_START
000501,,2025-11-28,WINDOW_START
000503,,2025-11-28,WINDOW_START
000504,,2025-11-28,WINDOW_START
000505,,2025-11-28,WINDOW_START
000506,,2025-11-28,WINDOW_START
000507,,2025-11-28,WINDOW_START
000509,,2025-11-28,WINDOW_START
000510,,2025-11-28,WINDOW_START
000513,,2025-11-28,WINDOW_START
000514,,2025-11-28,WINDOW_START
000516,,2025-11-28,WINDOW_START
000517,,2025-11-28,WINDOW_START
000518,,2025-11-28,WINDOW_START
000519,,2025-11-28,WINDOW_START
000520,,2025-11-28,WINDOW_START
000521,,2025-11-28,WINDOW_START
000523,,2025-11-28,WINDOW_START
000524,,2025-11-28,WINDOW_START
000525,,2025-11-28,WINDOW_START
000526,,2025-11-28,WINDOW_START
000528,,2025-11-28,WINDOW_START
000529,,2025-11-28,WINDOW_START
000530,,2025-11-28,WINDOW_START
000531,,2025-11-28,WINDOW_START
000532,,2025-11-28,WINDOW_START
000533,,2025-11-28,WINDOW_START
000534,,2025-11-28,WINDOW_START
000536,,2025-11-28,WINDOW_START
000537,,2025-11-28,WINDOW_START
000538,,2025-11-28,WINDOW_START
000539,,2025-11-28,WINDOW_START
000541,,2025-11-28,WINDOW_START
000543,,2025-11-28,WINDOW_START
000544,,2025-11-28,WINDOW_START
000545,,2025-11-28,WINDOW_START
000546,,2025-11-28,WINDOW_START
000547,,2025-11-28,WINDOW_START
000548,,2025-11-28,WINDOW_START
000550,,2025-11-28,WINDOW_START
000551,,2025-11-28,WINDOW_START
000552,,2025-11-28,WINDOW_START
000553,,2025-11-28,WINDOW_START
000554,,2025-11-28,WINDOW_START
000555,,2025-11-28,WINDOW_START
000557,,2025-11-28,WINDOW_START
000558,,2025-11-28,WINDOW_START
000559,,2025-11-28,WINDOW_START
000560,,2025-11-28,WINDOW_START
000561,,2025-11-28,WINDOW_START
000563,,2025-11-28,WINDOW_START
000564,,2025-11-28,WINDOW_START
000565,,2025-11-28,WINDOW_START
000566,,2025-11-28,WINDOW_START
000567,,2025-11-28,WINDOW_START
000568,,2025-11-28,WINDOW_START
000570,,2025-11-28,WINDOW_START
000571,,2025-11-28,WINDOW_START
000572,,2025-11-28,WINDOW_START
000573,,2025-11-28,WINDOW_START
000576,,2025-11-28,WINDOW_START
000581,,2025-11-28,WINDOW_START
000582,,2025-11-28,WINDOW_START
000586,,2025-11-28,WINDOW_START
000589,,2025-11-28,WINDOW_START
000590,,2025-11-28,WINDOW_START
000591,,2025-11-28,WINDOW_START
000592,,2025-11-28,WINDOW_START
000593,,2025-11-28,WINDOW_START
000595,,2025-11-28,WINDOW_START
000596,,2025-11-28,WINDOW_START
000597,,2025-11-28,WINDOW_START
000598,,2025-11-28,WINDOW_START
000599,,2025-11-28,WINDOW_START
000600,,2025-11-28,WINDOW_START
000601,,2025-11-28,WINDOW_START
000603,,2025-11-28,WINDOW_START
000605,,2025-11-28,WINDOW_START
000607,,2025-11-28,WINDOW_START
000608,,2025-11-28,WINDOW_START
000609,,2025-11-28,WINDOW_START
000610,,2025-11-28,WINDOW_START
000612,,2025-11-28,WINDOW_START
000615,,2025-11-28,WINDOW_START
000617,,2025-11-28,WINDOW_START
000619,,2025-11-28,WINDOW_START
000620,,2025-11-28,WINDOW_START
000623,,2025-11-28,WINDOW_START
000625,,2025-11-28,WINDOW_START
000626,,2025-11-28,WINDOW_START
000628,,2025-11-28,WINDOW_START
000629,,2025-11-28,WINDOW_START
000630,,2025-11-28,WINDOW_START
000631,,2025-11-28,WINDOW_START
000632,,2025-11-28,WINDOW_START
000633,,2025-11-28,WINDOW_START
000635,,2025-11-28,WINDOW_START
000636,,2025-11-28,WINDOW_START
000637,,2025-11-28,WINDOW_START
000638,,2025-11-28,WINDOW_START
000639,,2025-11-28,WINDOW_START
000650,,2025-11-28,WINDOW_START
000651,,2025-11-28,WINDOW_START
000652,,2025-11-28,WINDOW_START
000655,,2025-11-28,WINDOW_START
000656,,2025-11-28,WINDOW_START
000657,,2025-11-28,WINDOW_START
000659,,2025-11-28,WINDOW_START
000661,,2025-11-28,WINDOW_START
000663,,2025-11-28,WINDOW_START
000665,,2025-11-28,WINDOW_START
000668,,2025-11-28,WINDOW_START
000669,,2025-11-28,WINDOW_START
000670,,2025-11-28,WINDOW_START
000672,,2025-11-28,WINDOW_START
000676,,2025-11-28,WINDOW_START
000677,,2025-11-28,WINDOW_START
000678,,2025-11-28,WINDOW_START
000679,,2025-11-28,WINDOW_START
000680,,2025-11-28,WINDOW_START
000681,,2025-11-28,WINDOW_START
000682,,2025-11-28,WINDOW_START
000683,,2025-11-28,WINDOW_START
000685,,2025-11-28,WINDOW_START
000686,,2025-11-28,WINDOW_START
000688,,2025-11-28,WINDOW_START
000690,,2025-11-28,WINDOW_START
000691,,2025-11-28,WINDOW_START
000692,,2025-11-28,WINDOW_START
000695,,2025-11-28,WINDOW_START
000697,,2025-11-28,WINDOW_START
000698,,2025-11-28,WINDOW_START
000700,,2025-11-28,WINDOW_START
000701,,2025-11-28,WINDOW_START
000702,,2025-11-28,WINDOW_START
000703,,2025-11-28,WINDOW_START
000705,,2025-11-28,WINDOW_START
000707,,2025-11-28,WINDOW_START
000708,,2025-11-28,WINDOW_START
000709,,2025-11-28,WINDOW_START
000710,,2025-11-28,WINDOW_START
000711,,2025-11-28,WINDOW_START
000712,,2025-11-28,WINDOW_START
000713,,2025-11-28,WINDOW_START
000715,,2025-11-28,WINDOW_START
000716,,2025-11-28,WINDOW_START
000717,,2025-11-28,WINDOW_START
000718,,2025-11-28,WINDOW_START
000719,,2025-11-28,WINDOW_START
000720,,2025-11-28,WINDOW_START
000721,,2025-11-28,WINDOW_START
000722,,2025-11-28,WINDOW_START
000723,,2025-11-28,WINDOW_START
000725,,2025-11-28,WINDOW_START
000726,,2025-11-28,WINDOW_START
000727,,2025-11-28,WINDOW_START
000728,,2025-11-28,WINDOW_START
000729,,2025-11-28,WINDOW_START
000731,,2025-11-28,WINDOW_START
000733,,2025-11-28,WINDOW_START
000735,,2025-11-28,WINDOW_START
000736,,2025-11-28,WINDOW_START
000737,,2025-11-28,WINDOW_START
000738,,2025-11-28,WINDOW_START
000739,,2025-11-28,WINDOW_START
000750,,2025-11-28,WINDOW_START
000751,,2025-11-28,WINDOW_START
000752,,2025-11-28,WINDOW_START
000753,,2025-11-28,WINDOW_START
000755,,2025-11-28,WINDOW_START
000756,,2025-11-28,WINDOW_START
000757,,2025-11-28,WINDOW_START
000758,,2025-11-28,WINDOW_START
000759,,2025-11-28,WINDOW_START
000761,,2025-11-28,WINDOW_START
000762,,2025-11-28,WINDOW_START
000766,,2025-11-28,WINDOW_START
000767,,2025-11-28,WINDOW_START
000768,,2025-11-28,WINDOW_START
000776,,2025-11-28,WINDOW_START
000777,,2025-11-28,WINDOW_START
000778,,2025-11-28,WINDOW_START
000779,,2025-11-28,WINDOW_START
000782,,2025-11-28,WINDOW_START
000783,,2025-11-28,WINDOW_START
000785,,2025-11-28,WINDOW_START
000786,,2025-11-28,WINDOW_START
000788,,2025-11-28,WINDOW_START
000789,,2025-11-28,WINDOW_START
000790,,2025-11-28,WINDOW_START
000791,,2025-11-28,WINDOW_START
000792,,2025-11-28,WINDOW_START
000793,,2025-11-28,WINDOW_START
000795,,2025-11-28,WINDOW_START
000796,,2025-11-28,WINDOW_START
000797,,2025-11-28,WINDOW_START
000798,,2025-11-28,WINDOW_START
000799,,2025-11-28,WINDOW_START
000800,,2025-11-28,WINDOW_START
000801,,2025-11-28,WINDOW_START
000802,,2025-11-28,WINDOW_START
000803,,2025-11-28,WINDOW_START
000807,,2025-11-28,WINDOW_START
000809,,2025-11-28,WINDOW_START
000810,,2025-11-28,WINDOW_START
000811,,2025-11-28,WINDOW_START
000812,,2025-11-28,WINDOW_START
000813,,2025-11-28,WINDOW_START
000815,,2025-11-28,WINDOW_START
000816,,2025-11-28,WINDOW_START
000818,,2025-11-28,WINDOW_START
000819,,2025-11-28,WINDOW_START
000820,,2025-11-28,WINDOW_START
000821,,2025-11-28,WINDOW_START
000822,,2025-11-28,WINDOW_START
000823,,2025-11-28,WINDOW_START
000825,,2025-11-28,WINDOW_START
000826,,2025-11-28,WINDOW_START
000828,,2025-11-28,WINDOW_START
000829,,2025-11-28,WINDOW_START
000830,,2025-11-28,WINDOW_START
000831,,2025-11-28,WINDOW_START
000833,,2025-11-28,WINDOW_START
000837,,2025-11-28,WINDOW_START
000838,,2025-11-28,WINDOW_START
000839,,2025-11-28,WINDOW_START
000848,,2025-11-28,WINDOW_START
000850,,2025-11-28,WINDOW_START
000852,,2025-11-28,WINDOW_START
000856,,2025-11-28,WINDOW_START
000858,,2025-11-28,WINDOW_START
000859,,2025-11-28,WINDOW_START
000860,,2025-11-28,WINDOW_START
000862,,2025-11-28,WINDOW_START
000863,,2025-11-28,WINDOW_START
000868,,2025-11-28,WINDOW_START
000869,,2025-11-28,WINDOW_START
000875,,2025-11-28,WINDOW_START
000876,,2025-11-28,WINDOW_START
000877,,2025-11-28,WINDOW_START
000878,,2025-11-28,WINDOW_START
000880,,2025-11-28,WINDOW_START
000881,,2025-11-28,WINDOW_START
000882,,2025-11-28,WINDOW_START
000883,,2025-11-28,WINDOW_START
000885,,2025-11-28,WINDOW_START
000886,,2025-11-28,WINDOW_START
