symbol,missing_type,missing_date,missing_count
001331,GAP,2025-12-05,1
001331,GAP,2025-12-08,1
001331,GAP,2025-12-09,1
001331,GAP,2025-12-10,1
001331,GAP,2025-12-11,1
002036,GAP,2025-12-18,1
002036,GAP,2025-12-19,1
002036,GAP,2025-12-22,1
002036,GAP,2025-12-23,1
002166,GAP,2025-12-10,1
002166,GAP,2025-12-11,1
002166,GAP,2025-12-12,1
002166,GAP,2025-12-15,1
002166,GAP,2025-12-16,1
002166,GAP,2025-12-17,1
002166,GAP,2025-12-18,1
002166,GAP,2025-12-19,1
002166,GAP,2025-12-22,1
002166,GAP,2025-12-23,1
002175,GAP,2025-12-15,1
002175,GAP,2025-12-16,1
002175,GAP,2025-12-17,1
002175,GAP,2025-12-18,1
002175,GAP,2025-12-19,1
002197,GAP,2025-12-23,1
002420,GAP,2025-12-23,1
002424,GAP,2025-12-22,1
002425,GAP,2025-12-10,1
002586,GAP,2025-12-22,1
002742,GAP,2025-12-09,1
002769,GAP,2025-12-04,1
002769,GAP,2025-12-05,1
002769,GAP,2025-12-08,1
002769,GAP,2025-12-09,1
002769,GAP,2025-12-10,1
002769,GAP,2025-12-11,1
002769,GAP,2025-12-12,1
002769,GAP,2025-12-15,1
002769,GAP,2025-12-16,1
002769,GAP,2025-12-17,1
002853,GAP,2025-12-09,1
002853,GAP,2025-12-10,1
002853,GAP,2025-12-11,1
002853,GAP,2025-12-12,1
002853,GAP,2025-12-15,1
002931,GAP,2025-12-18,1
002931,GAP,2025-12-19,1
002931,GAP,2025-12-22,1
002931,GAP,2025-12-23,1
002969,GAP,2025-12-10,1
002969,GAP,2025-12-11,1
002969,GAP,2025-12-12,1
002969,GAP,2025-12-15,1
002969,GAP,2025-12-16,1
300068,GAP,2025-12-12,1
300068,GAP,2025-12-15,1
300068,GAP,2025-12-16,1
300068,GAP,2025-12-17,1
300068,GAP,2025-12-18,1
300137,GAP,2025-12-05,1
300159,GAP,2025-12-23,1
300173,GAP,2025-12-22,1
300270,GAP,2025-12-05,1
300270,GAP,2025-12-08,1
300270,GAP,2025-12-09,1
300270,GAP,2025-12-10,1
300270,GAP,2025-12-11,1
300291,GAP,2025-12-16,1
300291,GAP,2025-12-17,1
300291,GAP,2025-12-18,1
300291,GAP,2025-12-19,1
300291,GAP,2025-12-22,1
300291,GAP,2025-12-23,1
300460,GAP,2025-12-10,1
300486,GAP,2025-12-17,1
300486,GAP,2025-12-18,1
300486,GAP,2025-12-19,1
300486,GAP,2025-12-22,1
300486,GAP,2025-12-23,1
300506,GAP,2025-12-19,1
300551,GAP,2025-12-08,1
300551,GAP,2025-12-09,1
300551,GAP,2025-12-10,1
300551,GAP,2025-12-11,1
300551,GAP,2025-12-12,1
300585,GAP,2025-12-22,1
300585,GAP,2025-12-23,1
300710,GAP,2025-12-04,1
300710,GAP,2025-12-05,1
300710,GAP,2025-12-08,1
300710,GAP,2025-12-09,1
300710,GAP,2025-12-10,1
300710,GAP,2025-12-11,1
300710,GAP,2025-12-12,1
300710,GAP,2025-12-15,1
300710,GAP,2025-12-16,1
300710,GAP,2025-12-17,1
301025,GAP,2025-12-22,1
301025,GAP,2025-12-23,1
301213,GAP,2025-12-22,1
301213,GAP,2025-12-23,1
600079,GAP,2025-12-15,1
600165,GAP,2025-12-10,1
600222,GAP,2025-12-02,1
600222,GAP,2025-12-03,1
600222,GAP,2025-12-04,1
600222,GAP,2025-12-05,1
600222,GAP,2025-12-08,1
600337,GAP,2025-12-18,1
600337,GAP,2025-12-19,1
600337,GAP,2025-12-22,1
600337,GAP,2025-12-23,1
600730,GAP,2025-12-15,1
600730,GAP,2025-12-16,1
600730,GAP,2025-12-17,1
600730,GAP,2025-12-18,1
600730,GAP,2025-12-19,1
600800,GAP,2025-12-08,1
600800,GAP,2025-12-09,1
600800,GAP,2025-12-10,1
600800,GAP,2025-12-11,1
600800,GAP,2025-12-12,1
600800,GAP,2025-12-15,1
600800,GAP,2025-12-16,1
600800,GAP,2025-12-17,1
600800,GAP,2025-12-18,1
600800,GAP,2025-12-19,1
603305,GAP,2025-12-19,1
603305,GAP,2025-12-22,1
603608,GAP,2025-12-22,1
603608,GAP,2025-12-23,1
603822,GAP,2025-12-10,1
605255,GAP,2025-12-22,1
688012,GAP,2025-12-19,1
688012,GAP,2025-12-22,1
688012,GAP,2025-12-23,1
001280,WINDOW_START,2025-12-01,2
001325,WINDOW_START,2025-12-01,17
002200,WINDOW_START,2025-12-01,17
002235,WINDOW_START,2025-12-01,5
002348,WINDOW_START,2025-12-01,1
002667,WINDOW_START,2025-12-01,1
002689,WINDOW_START,2025-12-01,1
002812,WINDOW_START,2025-12-01,10
300165,WINDOW_START,2025-12-01,5
300344,WINDOW_START,2025-12-01,1
300379,WINDOW_START,2025-12-01,17
300523,WINDOW_START,2025-12-01,2
300889,WINDOW_START,2025-12-01,2
301073,WINDOW_START,2025-12-01,2
301449,WINDOW_START,2025-12-01,17
301667,WINDOW_START,2025-12-01,17
