asof_date,src,symbol,v8_local_industry_id,v8_local_industry_name,v7_sw_l1_code,v7_sw_l1_name,mapping_type,manual_review_flag,jaccard_score,coverage_vs_v8,coverage_vs_v7,decision_reason
2026-03-30,SW2014,000001,857831.SI,857831.SI,801780.SI,银行,ONE_TO_ONE,0,0.214286,1.0,0.214286,high_v8_coverage_single_parent
2026-03-30,SW2014,000002,851811.SI,851811.SI,801180.SI,房地产,ONE_TO_ONE,0,0.566667,0.985507,0.571429,high_v8_coverage_single_parent
2026-03-30,SW2014,000004,851042.SI,851042.SI,801750.SI,计算机,ONE_TO_ONE,0,0.092348,1.0,0.092348,high_v8_coverage_single_parent
2026-03-30,SW2014,000006,851811.SI,851811.SI,801180.SI,房地产,ONE_TO_ONE,0,0.566667,0.985507,0.571429,high_v8_coverage_single_parent
2026-03-30,SW2014,000007,852034.SI,852034.SI,801200.SI,商业贸易,ONE_TO_ONE,0,0.121739,1.0,0.121739,high_v8_coverage_single_parent
2026-03-30,SW2014,000008,850936.SI,850936.SI,801890.SI,机械设备,ONE_TO_ONE,0,0.05082,1.0,0.05082,high_v8_coverage_single_parent
2026-03-30,SW2014,000009,857372.SI,857372.SI,801730.SI,电气设备,ONE_TO_ONE,0,0.100478,1.0,0.100478,high_v8_coverage_single_parent
2026-03-30,SW2014,000010,857251.SI,857251.SI,801720.SI,建筑装饰,ONE_TO_ONE,0,0.119318,1.0,0.119318,high_v8_coverage_single_parent
2026-03-30,SW2014,000011,851811.SI,851811.SI,801180.SI,房地产,ONE_TO_ONE,0,0.566667,0.985507,0.571429,high_v8_coverage_single_parent
2026-03-30,SW2014,000012,857121.SI,857121.SI,801710.SI,建筑材料,ONE_TO_ONE,0,0.088608,1.0,0.088608,high_v8_coverage_single_parent
2026-03-30,SW2014,000014,851811.SI,851811.SI,801180.SI,房地产,ONE_TO_ONE,0,0.566667,0.985507,0.571429,high_v8_coverage_single_parent
2026-03-30,SW2014,000016,851116.SI,851116.SI,801110.SI,家用电器,ONE_TO_ONE,0,0.064815,1.0,0.064815,high_v8_coverage_single_parent
2026-03-30,SW2014,000017,851331.SI,851331.SI,801130.SI,纺织服装,ONE_TO_ONE,0,0.109244,1.0,0.109244,high_v8_coverage_single_parent
2026-03-30,SW2014,000019,850152.SI,850152.SI,801010.SI,农林牧渔,ONE_TO_ONE,0,0.055556,1.0,0.055556,high_v8_coverage_single_parent
2026-03-30,SW2014,000020,850831.SI,850831.SI,801080.SI,电子,ONE_TO_ONE,0,0.072692,1.0,0.072692,high_v8_coverage_single_parent
2026-03-30,SW2014,000021,850854.SI,850854.SI,801080.SI,电子,ONE_TO_ONE,0,0.157171,1.0,0.157171,high_v8_coverage_single_parent
2026-03-30,SW2014,000025,852311.SI,852311.SI,801230.SI,综合,ONE_TO_ONE,0,0.428571,1.0,0.428571,high_v8_coverage_single_parent
2026-03-30,SW2014,000026,851331.SI,851331.SI,801130.SI,纺织服装,ONE_TO_ONE,0,0.109244,1.0,0.109244,high_v8_coverage_single_parent
2026-03-30,SW2014,000027,851611.SI,851611.SI,801160.SI,公用事业,ONE_TO_ONE,0,0.205882,1.0,0.205882,high_v8_coverage_single_parent
2026-03-30,SW2014,000028,851542.SI,851542.SI,801150.SI,医药生物,ONE_TO_ONE,0,0.045541,1.0,0.045541,high_v8_coverage_single_parent
2026-03-30,SW2014,000029,851811.SI,851811.SI,801180.SI,房地产,ONE_TO_ONE,0,0.566667,0.985507,0.571429,high_v8_coverage_single_parent
2026-03-30,SW2014,000030,850923.SI,850923.SI,801880.SI,汽车,ONE_TO_ONE,0,0.277778,1.0,0.277778,high_v8_coverage_single_parent
2026-03-30,SW2014,000031,851812.SI,851812.SI,801180.SI,房地产,ONE_TO_ONE,0,0.084034,1.0,0.084034,high_v8_coverage_single_parent
2026-03-30,SW2014,000032,857244.SI,857244.SI,801720.SI,建筑装饰,ONE_TO_ONE,0,0.107955,1.0,0.107955,high_v8_coverage_single_parent
2026-03-30,SW2014,000034,852226.SI,852226.SI,801750.SI,计算机,ONE_TO_ONE,0,0.313984,1.0,0.313984,high_v8_coverage_single_parent
2026-03-30,SW2014,000035,859713.SI,859713.SI,,,UNMATCHED,1,0.0,0.0,0.0,no_shared_symbols
2026-03-30,SW2014,000036,851811.SI,851811.SI,801180.SI,房地产,ONE_TO_ONE,0,0.566667,0.985507,0.571429,high_v8_coverage_single_parent
2026-03-30,SW2014,000037,851611.SI,851611.SI,801160.SI,公用事业,ONE_TO_ONE,0,0.205882,1.0,0.205882,high_v8_coverage_single_parent
2026-03-30,SW2014,000039,850751.SI,850751.SI,801890.SI,机械设备,ONE_TO_ONE,0,0.116393,1.0,0.116393,high_v8_coverage_single_parent
2026-03-30,SW2014,000042,851811.SI,851811.SI,801180.SI,房地产,ONE_TO_ONE,0,0.566667,0.985507,0.571429,high_v8_coverage_single_parent
2026-03-30,SW2014,000045,850831.SI,850831.SI,801080.SI,电子,ONE_TO_ONE,0,0.072692,1.0,0.072692,high_v8_coverage_single_parent
2026-03-30,SW2014,000048,850172.SI,850172.SI,801010.SI,农林牧渔,ONE_TO_ONE,0,0.095238,1.0,0.095238,high_v8_coverage_single_parent
2026-03-30,SW2014,000049,857371.SI,857371.SI,801730.SI,电气设备,ONE_TO_ONE,0,0.062201,1.0,0.062201,high_v8_coverage_single_parent
2026-03-30,SW2014,000050,850831.SI,850831.SI,801080.SI,电子,ONE_TO_ONE,0,0.072692,1.0,0.072692,high_v8_coverage_single_parent
2026-03-30,SW2014,000055,850614.SI,850614.SI,801710.SI,建筑材料,ONE_TO_ONE,0,0.21519,1.0,0.21519,high_v8_coverage_single_parent
2026-03-30,SW2014,000056,851831.SI,851831.SI,801180.SI,房地产,ONE_TO_ONE,0,0.058824,1.0,0.058824,high_v8_coverage_single_parent
2026-03-30,SW2014,000058,852034.SI,852034.SI,801200.SI,商业贸易,ONE_TO_ONE,0,0.121739,1.0,0.121739,high_v8_coverage_single_parent
2026-03-30,SW2014,000059,859631.SI,859631.SI,,,UNMATCHED,1,0.0,0.0,0.0,no_shared_symbols
2026-03-30,SW2014,000060,850553.SI,850553.SI,801050.SI,有色金属,ONE_TO_ONE,0,0.082278,1.0,0.082278,high_v8_coverage_single_parent
2026-03-30,SW2014,000061,852034.SI,852034.SI,801200.SI,商业贸易,ONE_TO_ONE,0,0.121739,1.0,0.121739,high_v8_coverage_single_parent
2026-03-30,SW2014,000062,850841.SI,850841.SI,801080.SI,电子,ONE_TO_ONE,0,0.064833,1.0,0.064833,high_v8_coverage_single_parent
2026-03-30,SW2014,000063,851024.SI,851024.SI,801770.SI,通信,ONE_TO_ONE,0,0.246479,1.0,0.246479,high_v8_coverage_single_parent
2026-03-30,SW2014,000065,857243.SI,857243.SI,801720.SI,建筑装饰,ONE_TO_ONE,0,0.022727,1.0,0.022727,high_v8_coverage_single_parent
2026-03-30,SW2014,000066,850703.SI,850703.SI,801750.SI,计算机,ONE_TO_ONE,0,0.158311,1.0,0.158311,high_v8_coverage_single_parent
2026-03-30,SW2014,000068,859714.SI,859714.SI,,,UNMATCHED,1,0.0,0.0,0.0,no_shared_symbols
2026-03-30,SW2014,000069,851812.SI,851812.SI,801180.SI,房地产,ONE_TO_ONE,0,0.084034,1.0,0.084034,high_v8_coverage_single_parent
2026-03-30,SW2014,000070,851025.SI,851025.SI,801770.SI,通信,ONE_TO_ONE,0,0.077465,1.0,0.077465,high_v8_coverage_single_parent
2026-03-30,SW2014,000078,851542.SI,851542.SI,801150.SI,医药生物,ONE_TO_ONE,0,0.045541,1.0,0.045541,high_v8_coverage_single_parent
2026-03-30,SW2014,000088,851711.SI,851711.SI,801170.SI,交通运输,ONE_TO_ONE,0,0.111111,1.0,0.111111,high_v8_coverage_single_parent
2026-03-30,SW2014,000090,851811.SI,851811.SI,801180.SI,房地产,ONE_TO_ONE,0,0.566667,0.985507,0.571429,high_v8_coverage_single_parent
2026-03-30,SW2014,000096,859632.SI,859632.SI,,,UNMATCHED,1,0.0,0.0,0.0,no_shared_symbols
2026-03-30,SW2014,000099,851741.SI,851741.SI,801170.SI,交通运输,ONE_TO_ONE,0,0.055556,1.0,0.055556,high_v8_coverage_single_parent
2026-03-30,SW2014,000100,850831.SI,850831.SI,801080.SI,电子,ONE_TO_ONE,0,0.072692,1.0,0.072692,high_v8_coverage_single_parent
2026-03-30,SW2014,000151,852021.SI,852021.SI,801200.SI,商业贸易,ONE_TO_ONE,0,0.113043,1.0,0.113043,high_v8_coverage_single_parent
2026-03-30,SW2014,000153,851512.SI,851512.SI,801150.SI,医药生物,ONE_TO_ONE,0,0.204934,1.0,0.204934,high_v8_coverage_single_parent
2026-03-30,SW2014,000155,851617.SI,851617.SI,801160.SI,公用事业,ONE_TO_ONE,0,0.102941,1.0,0.102941,high_v8_coverage_single_parent
2026-03-30,SW2014,000156,859951.SI,859951.SI,801760.SI,传媒,ONE_TO_ONE,0,0.089744,1.0,0.089744,high_v8_coverage_single_parent
2026-03-30,SW2014,000157,850771.SI,850771.SI,801890.SI,机械设备,ONE_TO_ONE,0,0.031148,1.0,0.031148,high_v8_coverage_single_parent
2026-03-30,SW2014,000158,852226.SI,852226.SI,801750.SI,计算机,ONE_TO_ONE,0,0.313984,1.0,0.313984,high_v8_coverage_single_parent
2026-03-30,SW2014,000159,857354.SI,857354.SI,801730.SI,电气设备,ONE_TO_ONE,0,0.04067,1.0,0.04067,high_v8_coverage_single_parent
2026-03-30,SW2014,000166,851931.SI,851931.SI,801790.SI,非银金融,ONE_TO_ONE,0,0.526316,1.0,0.526316,high_v8_coverage_single_parent
2026-03-30,SW2014,000301,859631.SI,859631.SI,,,UNMATCHED,1,0.0,0.0,0.0,no_shared_symbols
2026-03-30,SW2014,000333,851112.SI,851112.SI,801110.SI,家用电器,ONE_TO_ONE,0,0.027778,1.0,0.027778,high_v8_coverage_single_parent
2026-03-30,SW2014,000338,850923.SI,850923.SI,801880.SI,汽车,ONE_TO_ONE,0,0.277778,1.0,0.277778,high_v8_coverage_single_parent
2026-03-30,SW2014,000400,857321.SI,857321.SI,801730.SI,电气设备,ONE_TO_ONE,0,0.059809,1.0,0.059809,high_v8_coverage_single_parent
2026-03-30,SW2014,000401,857111.SI,857111.SI,801710.SI,建筑材料,ONE_TO_ONE,0,0.177215,1.0,0.177215,high_v8_coverage_single_parent
2026-03-30,SW2014,000402,851812.SI,851812.SI,801180.SI,房地产,ONE_TO_ONE,0,0.084034,1.0,0.084034,high_v8_coverage_single_parent
2026-03-30,SW2014,000403,851522.SI,851522.SI,801150.SI,医药生物,ONE_TO_ONE,0,0.013283,1.0,0.013283,high_v8_coverage_single_parent
2026-03-30,SW2014,000404,851161.SI,851161.SI,801110.SI,家用电器,ONE_TO_ONE,0,0.277778,1.0,0.277778,high_v8_coverage_single_parent
2026-03-30,SW2014,000407,851631.SI,851631.SI,801160.SI,公用事业,ONE_TO_ONE,0,0.213235,1.0,0.213235,high_v8_coverage_single_parent
2026-03-30,SW2014,000409,852226.SI,852226.SI,801750.SI,计算机,ONE_TO_ONE,0,0.313984,1.0,0.313984,high_v8_coverage_single_parent
2026-03-30,SW2014,000410,850711.SI,850711.SI,801890.SI,机械设备,ONE_TO_ONE,0,0.029508,1.0,0.029508,high_v8_coverage_single_parent
2026-03-30,SW2014,000411,851542.SI,851542.SI,801150.SI,医药生物,ONE_TO_ONE,0,0.045541,1.0,0.045541,high_v8_coverage_single_parent
