trade_date,total_mainlines,state_counts,top_trend_expansion,top_top_decay,risk_off_flag,row_count_written
2026-01-05,248,{'RISK_OFF': 248},N/A,N/A,YES,248
2026-01-06,248,{'RISK_OFF': 248},N/A,N/A,YES,248
2026-01-07,248,{'RISK_OFF': 248},N/A,N/A,YES,248
2026-01-08,248,{'RISK_OFF': 248},N/A,N/A,YES,248
2026-01-09,334,"{'RISK_OFF': 321, 'UNKNOWN': 13}",N/A,N/A,YES,334
2026-01-12,333,"{'RISK_OFF': 320, 'UNKNOWN': 13}",N/A,N/A,YES,333
2026-01-13,333,"{'RISK_OFF': 320, 'UNKNOWN': 13}",N/A,N/A,YES,333
2026-01-14,334,"{'RISK_OFF': 321, 'UNKNOWN': 13}",N/A,N/A,YES,334
2026-01-15,334,"{'RISK_OFF': 321, 'UNKNOWN': 13}",N/A,N/A,YES,334
2026-01-16,334,"{'RISK_OFF': 321, 'UNKNOWN': 13}",N/A,N/A,YES,334
2026-01-19,334,"{'RISK_OFF': 321, 'UNKNOWN': 13}",N/A,N/A,YES,334
2026-01-20,334,"{'RISK_OFF': 321, 'UNKNOWN': 13}",N/A,N/A,YES,334
2026-01-21,333,"{'RISK_OFF': 320, 'UNKNOWN': 13}",N/A,N/A,YES,333
2026-01-22,333,"{'RISK_OFF': 320, 'UNKNOWN': 13}",N/A,N/A,YES,333
2026-01-23,333,"{'RISK_OFF': 320, 'UNKNOWN': 13}",N/A,N/A,YES,333
2026-01-26,364,"{'UNKNOWN': 280, 'RISK_OFF': 84}",N/A,N/A,YES,364
2026-01-27,364,"{'UNKNOWN': 280, 'RISK_OFF': 84}",N/A,N/A,YES,364
2026-01-28,364,"{'UNKNOWN': 280, 'RISK_OFF': 84}",N/A,N/A,YES,364
2026-01-29,364,"{'UNKNOWN': 280, 'RISK_OFF': 84}",N/A,N/A,YES,364
2026-01-30,364,"{'UNKNOWN': 280, 'RISK_OFF': 84}",N/A,N/A,YES,364
2026-02-02,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-02-03,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-02-04,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-02-05,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-02-06,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-02-09,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-02-10,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-02-11,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-02-12,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-02-13,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-02-24,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-02-25,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-02-26,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-02-27,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-02,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-03,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-04,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-05,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-06,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-09,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-10,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-11,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-12,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-13,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-16,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-17,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-18,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-19,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-20,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-23,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-24,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-25,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-26,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-27,31,{'RISK_OFF': 31},N/A,N/A,YES,31
2026-03-30,31,{'RISK_OFF': 31},N/A,N/A,YES,31
