trade_date,industry_count,avg_mainline_strength,active_mainline_count,avg_leader_density,avg_breakout_ratio,row_count
2018-01-02,263,0.3793,7,0.5254,0.0,263
2018-01-03,263,0.3638,6,0.5207,0.0,263
2018-01-04,263,0.3191,3,0.5084,0.0,263
2018-01-05,263,0.3221,3,0.5076,0.0,263
2018-01-08,263,0.3202,3,0.5071,0.0,263
2018-01-09,263,0.3089,1,0.5072,0.0,263
2018-01-10,263,0.284,3,0.5012,0.0,263
2018-01-11,263,0.3494,4,0.5059,0.0,263
2018-01-12,263,0.2953,3,0.5003,0.0,263
2018-01-15,263,0.2581,0,0.492,0.0,263
2018-01-16,263,0.3581,8,0.4891,0.0,263
2018-01-17,263,0.3324,3,0.501,0.0,263
2018-01-18,263,0.3277,4,0.5122,0.0,263
2018-01-19,263,0.3088,4,0.5074,0.0,263
2018-01-22,263,0.3553,4,0.509,0.0,263
2018-01-23,263,0.3262,2,0.5046,0.0,263
2018-01-24,263,0.3459,5,0.4973,0.0,263
2018-01-25,263,0.3134,4,0.5002,0.0,263
2018-01-26,263,0.3048,5,0.4944,0.0,263
2018-01-29,263,0.278,0,0.5019,0.0,263
2018-01-30,263,0.3214,3,0.5065,0.0,263
2018-01-31,263,0.2656,1,0.5074,0.0,263
2018-02-01,263,0.2464,1,0.5069,0.0,263
2018-02-02,263,0.3069,3,0.4949,0.0,263
2018-02-05,263,0.3022,3,0.4908,0.0,263
2018-02-06,263,0.2275,1,0.4929,0.0,263
2018-02-07,263,0.3556,9,0.4941,0.0,263
2018-02-08,263,0.3787,7,0.4981,0.0,263
2018-02-09,263,0.2472,0,0.5094,0.0,263
2018-02-12,263,0.4059,5,0.5106,0.0,263
2018-02-13,263,0.3276,5,0.5061,0.0,263
2018-02-14,263,0.3404,6,0.5008,0.0,263
2018-02-22,263,0.4023,8,0.5039,0.0,263
2018-02-23,263,0.3395,6,0.4996,0.0,263
2018-02-26,263,0.4078,8,0.4996,0.0,263
2018-02-27,263,0.3186,2,0.4999,0.0,263
2018-02-28,263,0.3163,3,0.4988,0.0,263
2018-03-01,263,0.3782,5,0.5034,0.0,263
2018-03-02,263,0.297,2,0.5001,0.0,263
2018-03-05,263,0.3408,2,0.5022,0.0,263
2018-03-06,263,0.3733,6,0.501,0.0,263
2018-03-07,263,0.291,4,0.518,0.0,263
2018-03-08,263,0.3655,2,0.5292,0.0,263
2018-03-09,263,0.3909,6,0.5301,0.0,263
2018-03-12,263,0.3915,6,0.5295,0.0,263
2018-03-13,263,0.3002,2,0.5343,0.0,263
2018-03-14,263,0.2827,0,0.5261,0.0,263
2018-03-15,263,0.3014,4,0.5216,0.0,263
2018-03-16,263,0.3151,2,0.5299,0.0,263
2018-03-19,263,0.3383,1,0.5332,0.0,263
2018-03-20,263,0.3319,2,0.5347,0.0,263
2018-03-21,263,0.3007,2,0.5342,0.0,263
2018-03-22,263,0.3289,1,0.5431,0.0,263
2018-03-23,263,0.2422,1,0.5367,0.0,263
2018-03-26,263,0.3728,2,0.5376,0.0,263
2018-03-27,263,0.4124,5,0.5487,0.0,263
2018-03-28,263,0.2984,1,0.5477,0.0,263
2018-03-29,263,0.3806,4,0.5442,0.0,263
2018-03-30,263,0.381,5,0.5455,0.0,263
2018-04-02,263,0.3324,3,0.549,0.0,263
2018-04-03,263,0.2967,1,0.5534,0.0,263
2018-04-04,263,0.3141,1,0.5507,0.0,263
2018-04-09,263,0.3333,2,0.5545,0.0,263
2018-04-10,263,0.3486,3,0.5551,0.0,263
2018-04-11,263,0.3629,3,0.554,0.0,263
2018-04-12,263,0.3036,2,0.559,0.0,263
2018-04-13,263,0.3144,0,0.559,0.0,263
2018-04-16,263,0.3017,0,0.5486,0.0,263
2018-04-17,263,0.2693,1,0.544,0.0,263
2018-04-18,263,0.368,4,0.5385,0.0,263
2018-04-19,263,0.3445,3,0.5444,0.0,263
2018-04-20,263,0.265,0,0.5379,0.0,263
2018-04-23,263,0.3148,4,0.5467,0.0,263
2018-04-24,263,0.4123,6,0.5452,0.0,263
2018-04-25,263,0.3356,2,0.548,0.0,263
2018-04-26,263,0.2679,1,0.5401,0.0,263
2018-04-27,263,0.3494,5,0.54,0.0,263
2018-05-02,263,0.3185,6,0.5287,0.0,263
2018-05-03,263,0.3658,3,0.5253,0.0,263
2018-05-04,263,0.3143,1,0.5252,0.0,263
2018-05-07,263,0.4041,6,0.5243,0.0,263
2018-05-08,263,0.3561,3,0.5234,0.0,263
2018-05-09,263,0.3244,3,0.524,0.0,263
2018-05-10,263,0.3517,5,0.5255,0.0,263
2018-05-11,263,0.2875,1,0.5267,0.0,263
2018-05-14,263,0.3033,2,0.524,0.0,263
2018-05-15,263,0.3726,5,0.5221,0.0,263
2018-05-16,263,0.3006,1,0.5188,0.0,263
2018-05-17,263,0.3158,2,0.5226,0.0,263
2018-05-18,263,0.3589,4,0.5219,0.0,263
2018-05-21,263,0.3863,4,0.5286,0.0,263
2018-05-22,263,0.3415,4,0.5204,0.0,263
2018-05-23,263,0.2773,1,0.5154,0.0,263
2018-05-24,263,0.3097,3,0.5174,0.0,263
2018-05-25,263,0.2912,2,0.516,0.0,263
2018-05-28,263,0.2957,3,0.5148,0.0,263
2018-05-29,263,0.2973,3,0.5168,0.0,263
2018-05-30,263,0.2507,1,0.5188,0.0,263
2018-05-31,263,0.3982,7,0.5143,0.0,263
2018-06-01,263,0.2899,1,0.5133,0.0,263
2018-06-04,263,0.3182,1,0.515,0.0,263
2018-06-05,263,0.3879,5,0.5043,0.0,263
2018-06-06,263,0.3249,5,0.5087,0.0,263
2018-06-07,263,0.2864,2,0.5058,0.0,263
2018-06-08,263,0.2787,1,0.5092,0.0,263
2018-06-11,263,0.2918,4,0.5059,0.0,263
2018-06-12,263,0.3641,6,0.5078,0.0,263
2018-06-13,263,0.2632,1,0.5044,0.0,263
2018-06-14,263,0.3063,4,0.5026,0.0,263
2018-06-15,262,0.2624,1,0.5027,0.0,262
2018-06-19,262,0.2203,0,0.496,0.0,262
2018-06-20,262,0.3645,5,0.492,0.0,262
2018-06-21,262,0.2574,1,0.4883,0.0,262
2018-06-22,262,0.3812,6,0.493,0.0,262
2018-06-25,262,0.3037,1,0.4972,0.0,262
2018-06-26,262,0.3623,5,0.4963,0.0,262
2018-06-27,262,0.2975,1,0.5116,0.0,262
2018-06-28,262,0.2785,0,0.5171,0.0,262
2018-06-29,262,0.4113,6,0.5057,0.0,262
2018-07-02,262,0.2713,0,0.5105,0.0,262
2018-07-03,262,0.3798,5,0.5169,0.0,262
2018-07-04,262,0.2669,1,0.5186,0.0,262
2018-07-05,262,0.2553,0,0.5217,0.0,262
2018-07-06,262,0.3482,3,0.5267,0.0,262
2018-07-09,262,0.4045,6,0.5165,0.0,262
2018-07-10,262,0.3599,6,0.5232,0.0,262
2018-07-11,262,0.2569,0,0.5164,0.0,262
2018-07-12,262,0.4107,6,0.5088,0.0,262
2018-07-13,262,0.3311,3,0.5199,0.0,262
2018-07-16,262,0.3201,1,0.5289,0.0,262
2018-07-17,262,0.3329,3,0.5324,0.0,262
2018-07-18,262,0.3052,1,0.5392,0.0,262
2018-07-19,262,0.2836,2,0.5386,0.0,262
2018-07-20,262,0.3837,3,0.5373,0.0,262
2018-07-23,262,0.369,4,0.5311,0.0,262
2018-07-24,262,0.3947,5,0.5268,0.0,262
2018-07-25,262,0.3231,3,0.5306,0.0,262
2018-07-26,262,0.3237,3,0.5457,0.0,262
2018-07-27,262,0.3031,3,0.5444,0.0,262
2018-07-30,262,0.2861,0,0.54,0.0,262
2018-07-31,262,0.3454,5,0.5433,0.0,262
2018-08-01,262,0.2737,1,0.5478,0.0,262
2018-08-02,262,0.2619,0,0.5353,0.0,262
2018-08-03,262,0.2882,0,0.5364,0.0,262
2018-08-06,262,0.2747,1,0.5391,0.0,262
2018-08-07,262,0.4141,2,0.5485,0.0,262
2018-08-08,262,0.2796,0,0.5561,0.0,262
2018-08-09,262,0.4095,3,0.5524,0.0,262
2018-08-10,262,0.3523,1,0.5462,0.0,262
2018-08-13,262,0.3256,2,0.5435,0.0,262
2018-08-14,262,0.3221,2,0.5457,0.0,262
2018-08-15,262,0.262,0,0.5499,0.0,262
2018-08-16,262,0.2846,1,0.5483,0.0,262
2018-08-17,262,0.2648,0,0.5479,0.0,262
2018-08-20,262,0.3501,2,0.544,0.0,262
2018-08-21,262,0.3857,3,0.5478,0.0,262
2018-08-22,262,0.2775,0,0.5347,0.0,262
2018-08-23,262,0.3547,2,0.5348,0.0,262
2018-08-24,262,0.3097,0,0.5394,0.0,262
2018-08-27,262,0.4066,3,0.5247,0.0,262
2018-08-28,262,0.3247,2,0.5196,0.0,262
2018-08-29,262,0.2917,2,0.5352,0.0,262
2018-08-30,262,0.2673,0,0.5319,0.0,262
2018-08-31,262,0.2761,0,0.5206,0.0,262
2018-09-03,262,0.3179,2,0.5242,0.0,262
2018-09-04,262,0.3814,2,0.5212,0.0,262
2018-09-05,262,0.2668,1,0.5228,0.0,262
2018-09-06,262,0.2929,0,0.5225,0.0,262
2018-09-07,262,0.3368,1,0.5206,0.0,262
2018-09-10,262,0.2608,0,0.5179,0.0,262
2018-09-11,262,0.3378,3,0.5218,0.0,262
2018-09-12,262,0.3282,2,0.5174,0.0,262
2018-09-13,263,0.3741,3,0.52,0.0,263
2018-09-14,263,0.2863,0,0.5306,0.0,263
2018-09-17,263,0.2691,0,0.5319,0.0,263
2018-09-18,263,0.3962,3,0.5275,0.0,263
2018-09-19,263,0.378,3,0.5265,0.0,263
2018-09-20,263,0.3054,2,0.5215,0.0,263
2018-09-21,263,0.3862,3,0.5227,0.0,263
2018-09-25,263,0.2991,1,0.5216,0.0,263
2018-09-26,263,0.3354,2,0.5208,0.0,263
2018-09-27,263,0.2625,1,0.5131,0.0,263
2018-09-28,263,0.3761,2,0.5053,0.0,263
2018-10-08,263,0.245,0,0.5185,0.0,263
2018-10-09,263,0.3432,1,0.5263,0.0,263
2018-10-10,263,0.3386,3,0.525,0.0,263
2018-10-11,263,0.2165,0,0.5125,0.0,263
2018-10-12,263,0.2975,1,0.5053,0.0,263
2018-10-15,263,0.2754,0,0.5101,0.0,263
2018-10-16,263,0.2643,0,0.5052,0.0,263
2018-10-17,263,0.3611,2,0.5122,0.0,263
2018-10-18,263,0.2447,0,0.5052,0.0,263
2018-10-19,263,0.3949,5,0.5068,0.0,263
2018-10-22,263,0.4236,5,0.5035,0.0,263
2018-10-23,263,0.2728,3,0.5075,0.0,263
2018-10-24,263,0.3282,4,0.511,0.0,263
2018-10-25,263,0.2909,3,0.5126,0.0,263
2018-10-26,263,0.3473,2,0.523,0.0,263
2018-10-29,263,0.2719,1,0.5192,0.0,263
2018-10-30,263,0.3786,5,0.5249,0.0,263
2018-10-31,263,0.3894,3,0.5265,0.0,263
2018-11-01,263,0.3374,2,0.5301,0.0,263
2018-11-02,263,0.4117,5,0.5159,0.0,263
2018-11-05,263,0.3449,4,0.5162,0.0,263
2018-11-06,263,0.3022,2,0.5166,0.0,263
2018-11-07,263,0.301,2,0.5249,0.0,263
2018-11-08,263,0.3129,1,0.5419,0.0,263
2018-11-09,263,0.3102,3,0.5481,0.0,263
2018-11-12,263,0.4159,5,0.5463,0.0,263
2018-11-13,263,0.3973,4,0.549,0.0,263
2018-11-14,263,0.3173,4,0.5547,0.0,263
2018-11-15,263,0.3973,4,0.5595,0.0,263
2018-11-16,263,0.3622,4,0.5596,0.0,263
2018-11-19,263,0.3409,4,0.5607,0.0,263
2018-11-20,263,0.2605,0,0.5559,0.0,263
2018-11-21,263,0.3624,3,0.5611,0.0,263
2018-11-22,263,0.3279,4,0.5524,0.0,263
2018-11-23,263,0.2417,0,0.5411,0.0,263
2018-11-26,263,0.3181,3,0.5453,0.0,263
2018-11-27,263,0.3603,2,0.5485,0.0,263
2018-11-28,263,0.3825,4,0.5522,0.0,263
2018-11-29,263,0.2605,1,0.5516,0.0,263
2018-11-30,263,0.3585,3,0.5531,0.0,263
2018-12-03,263,0.4224,5,0.5545,0.0,263
2018-12-04,263,0.3666,5,0.5559,0.0,263
2018-12-05,263,0.2917,0,0.5531,0.0,263
2018-12-06,263,0.2691,1,0.5487,0.0,263
2018-12-07,263,0.3358,3,0.5468,0.0,263
2018-12-10,263,0.2813,0,0.5346,0.0,263
2018-12-11,263,0.3672,4,0.5372,0.0,263
2018-12-12,263,0.3241,2,0.5335,0.0,263
2018-12-13,263,0.3688,3,0.5287,0.0,263
2018-12-14,263,0.2496,1,0.5158,0.0,263
2018-12-17,263,0.3215,2,0.5201,0.0,263
2018-12-18,263,0.2872,1,0.512,0.0,263
2018-12-19,263,0.2648,1,0.5083,0.0,263
2018-12-20,263,0.3435,2,0.517,0.0,263
2018-12-21,263,0.2866,1,0.523,0.0,263
2018-12-24,263,0.3666,3,0.5178,0.0,263
2018-12-25,263,0.2781,1,0.5183,0.0,263
2018-12-26,263,0.3104,1,0.5237,0.0,263
2018-12-27,263,0.2672,0,0.5186,0.0,263
