trade_date,symbol_count,avg_quality_score,avg_growth_acceleration,avg_cashflow,avg_debt_control,avg_margin_stability,avg_profitability,risk_flag_distribution,row_count
2025-10-09,5139,0.4381,0.3364,0.1888,0.815,0.6256,0.2247,"{'NONE': 1853, 'NEGATIVE_EARNINGS': 1675, 'CASHFLOW_WEAK': 1611}",5139
2025-10-10,5141,0.4381,0.3364,0.1888,0.8149,0.6256,0.2248,"{'NONE': 1854, 'NEGATIVE_EARNINGS': 1675, 'CASHFLOW_WEAK': 1612}",5141
2025-10-13,5143,0.4381,0.3364,0.1889,0.8149,0.6255,0.2248,"{'NONE': 1856, 'NEGATIVE_EARNINGS': 1676, 'CASHFLOW_WEAK': 1611}",5143
2025-10-14,5143,0.4381,0.3363,0.1888,0.8149,0.6256,0.2248,"{'NONE': 1855, 'NEGATIVE_EARNINGS': 1676, 'CASHFLOW_WEAK': 1612}",5143
2025-10-15,5143,0.4382,0.3365,0.189,0.8149,0.6255,0.225,"{'NONE': 1857, 'NEGATIVE_EARNINGS': 1674, 'CASHFLOW_WEAK': 1612}",5143
2025-10-16,5146,0.4382,0.3365,0.189,0.8149,0.6254,0.225,"{'NONE': 1857, 'NEGATIVE_EARNINGS': 1677, 'CASHFLOW_WEAK': 1612}",5146
2025-10-17,5149,0.4383,0.3367,0.1891,0.8149,0.6253,0.2253,"{'NONE': 1860, 'NEGATIVE_EARNINGS': 1677, 'CASHFLOW_WEAK': 1612}",5149
2025-10-20,5149,0.4386,0.3372,0.1897,0.8149,0.6252,0.2259,"{'NONE': 1866, 'NEGATIVE_EARNINGS': 1672, 'CASHFLOW_WEAK': 1611}",5149
2025-10-21,5148,0.439,0.3374,0.1909,0.8149,0.6251,0.2267,"{'NONE': 1876, 'NEGATIVE_EARNINGS': 1671, 'CASHFLOW_WEAK': 1601}",5148
2025-10-22,5148,0.4395,0.3375,0.192,0.8152,0.6252,0.2275,"{'NONE': 1893, 'NEGATIVE_EARNINGS': 1665, 'CASHFLOW_WEAK': 1590}",5148
2025-10-23,5150,0.4402,0.3388,0.1935,0.8151,0.6248,0.2288,"{'NONE': 1908, 'NEGATIVE_EARNINGS': 1656, 'CASHFLOW_WEAK': 1586}",5150
2025-10-24,5151,0.4416,0.3411,0.1963,0.815,0.6242,0.2316,"{'NONE': 1934, 'NEGATIVE_EARNINGS': 1641, 'CASHFLOW_WEAK': 1576}",5151
