trade_date,missing_group,missing_reason,effective_end_date,source_table,audit_version
2000-01-04,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-01-05,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-01-06,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-01-07,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-01-10,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-01-11,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-01-12,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-01-13,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-01-14,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-01-17,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-01-18,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-01-19,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-01-20,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-01-21,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-01-24,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-01-25,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-01-26,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-01-27,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-01-28,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-02-14,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-02-15,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-02-16,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-02-17,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-02-18,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
