mainline_id,total_dates,tc_dates,dw_dates,tc_windows,persistence_label
801010.SI,5,0,1,0,BACKGROUND_ONLY_AFTER_POOL
801030.SI,5,0,2,0,BACKGROUND_ONLY_AFTER_POOL
801040.SI,5,0,3,0,BACKGROUND_ONLY_AFTER_POOL
801050.SI,5,0,2,0,BACKGROUND_ONLY_AFTER_POOL
801080.SI,5,0,2,0,BACKGROUND_ONLY_AFTER_POOL
801110.SI,5,0,1,0,BACKGROUND_ONLY_AFTER_POOL
801120.SI,5,0,3,0,BACKGROUND_ONLY_AFTER_POOL
801130.SI,5,0,1,0,BACKGROUND_ONLY_AFTER_POOL
801140.SI,4,0,0,0,BACKGROUND_ONLY_AFTER_POOL
801150.SI,5,0,2,0,BACKGROUND_ONLY_AFTER_POOL
801160.SI,5,0,2,0,BACKGROUND_ONLY_AFTER_POOL
801170.SI,5,0,2,0,BACKGROUND_ONLY_AFTER_POOL
801180.SI,5,0,2,0,BACKGROUND_ONLY_AFTER_POOL
801200.SI,5,0,2,0,BACKGROUND_ONLY_AFTER_POOL
801210.SI,4,0,2,0,BACKGROUND_ONLY_AFTER_POOL
801230.SI,5,0,5,0,BACKGROUND_ONLY_AFTER_POOL
801710.SI,5,0,3,0,BACKGROUND_ONLY_AFTER_POOL
801720.SI,5,0,1,0,BACKGROUND_ONLY_AFTER_POOL
801730.SI,5,0,2,0,BACKGROUND_ONLY_AFTER_POOL
801740.SI,5,0,2,0,BACKGROUND_ONLY_AFTER_POOL
801750.SI,5,0,2,0,BACKGROUND_ONLY_AFTER_POOL
801760.SI,5,0,2,0,BACKGROUND_ONLY_AFTER_POOL
801770.SI,5,0,1,0,BACKGROUND_ONLY_AFTER_POOL
801790.SI,5,0,2,0,BACKGROUND_ONLY_AFTER_POOL
801880.SI,5,0,1,0,BACKGROUND_ONLY_AFTER_POOL
801890.SI,5,0,2,0,BACKGROUND_ONLY_AFTER_POOL
801950.SI,4,0,2,0,BACKGROUND_ONLY_AFTER_POOL
801960.SI,4,0,1,0,BACKGROUND_ONLY_AFTER_POOL
801970.SI,5,0,2,0,BACKGROUND_ONLY_AFTER_POOL
801980.SI,2,0,1,0,BACKGROUND_ONLY_AFTER_POOL
850111.SI,32,0,31,0,BACKGROUND_ONLY_AFTER_POOL
850113.SI,47,0,47,0,BACKGROUND_ONLY_AFTER_POOL
850122.SI,18,0,18,0,BACKGROUND_ONLY_AFTER_POOL
850135.SI,59,0,45,0,BACKGROUND_ONLY_AFTER_POOL
850136.SI,27,0,27,0,BACKGROUND_ONLY_AFTER_POOL
850142.SI,15,0,15,0,BACKGROUND_ONLY_AFTER_POOL
850151.SI,1,0,1,0,BACKGROUND_ONLY_AFTER_POOL
850152.SI,48,0,48,0,BACKGROUND_ONLY_AFTER_POOL
850154.SI,3,0,3,0,BACKGROUND_ONLY_AFTER_POOL
850172.SI,52,0,52,0,BACKGROUND_ONLY_AFTER_POOL
850173.SI,29,0,27,0,BACKGROUND_ONLY_AFTER_POOL
850181.SI,66,0,66,0,BACKGROUND_ONLY_AFTER_POOL
850232.SI,25,0,25,0,BACKGROUND_ONLY_AFTER_POOL
850322.SI,44,0,37,0,BACKGROUND_ONLY_AFTER_POOL
850323.SI,48,0,45,0,BACKGROUND_ONLY_AFTER_POOL
850324.SI,39,1,37,1,PRECURSOR_THEN_SINGLE_COLLAPSE
850325.SI,74,0,74,0,BACKGROUND_ONLY_AFTER_POOL
850326.SI,39,0,39,0,BACKGROUND_ONLY_AFTER_POOL
850331.SI,72,0,72,0,BACKGROUND_ONLY_AFTER_POOL
850332.SI,18,0,15,0,BACKGROUND_ONLY_AFTER_POOL
850333.SI,71,1,42,1,PRECURSOR_THEN_SINGLE_COLLAPSE
850335.SI,63,0,48,0,BACKGROUND_ONLY_AFTER_POOL
850337.SI,73,0,72,0,BACKGROUND_ONLY_AFTER_POOL
850338.SI,45,0,42,0,BACKGROUND_ONLY_AFTER_POOL
850339.SI,75,0,36,0,BACKGROUND_ONLY_AFTER_POOL
850341.SI,31,0,22,0,BACKGROUND_ONLY_AFTER_POOL
850343.SI,36,0,35,0,BACKGROUND_ONLY_AFTER_POOL
850351.SI,28,0,15,0,BACKGROUND_ONLY_AFTER_POOL
850353.SI,42,0,41,0,BACKGROUND_ONLY_AFTER_POOL
850354.SI,40,0,39,0,BACKGROUND_ONLY_AFTER_POOL
850355.SI,52,0,50,0,BACKGROUND_ONLY_AFTER_POOL
850362.SI,7,0,7,0,BACKGROUND_ONLY_AFTER_POOL
850363.SI,12,0,10,0,BACKGROUND_ONLY_AFTER_POOL
850372.SI,34,0,34,0,BACKGROUND_ONLY_AFTER_POOL
850381.SI,34,0,26,0,BACKGROUND_ONLY_AFTER_POOL
850382.SI,13,0,13,0,BACKGROUND_ONLY_AFTER_POOL
850442.SI,50,1,49,1,PRECURSOR_THEN_SINGLE_COLLAPSE
850521.SI,74,0,74,0,BACKGROUND_ONLY_AFTER_POOL
850522.SI,44,0,39,0,BACKGROUND_ONLY_AFTER_POOL
850523.SI,10,0,10,0,BACKGROUND_ONLY_AFTER_POOL
850531.SI,33,0,20,0,BACKGROUND_ONLY_AFTER_POOL
850544.SI,53,0,44,0,BACKGROUND_ONLY_AFTER_POOL
850551.SI,75,0,63,0,BACKGROUND_ONLY_AFTER_POOL
850552.SI,71,0,71,0,BACKGROUND_ONLY_AFTER_POOL
850553.SI,71,0,58,0,BACKGROUND_ONLY_AFTER_POOL
850614.SI,73,1,59,1,PRECURSOR_THEN_SINGLE_COLLAPSE
850615.SI,30,0,30,0,BACKGROUND_ONLY_AFTER_POOL
850616.SI,28,0,26,0,BACKGROUND_ONLY_AFTER_POOL
850623.SI,40,0,40,0,BACKGROUND_ONLY_AFTER_POOL
850702.SI,14,0,14,0,BACKGROUND_ONLY_AFTER_POOL
850703.SI,75,0,41,0,BACKGROUND_ONLY_AFTER_POOL
850711.SI,57,1,36,1,PRECURSOR_THEN_SINGLE_COLLAPSE
850713.SI,58,0,57,0,BACKGROUND_ONLY_AFTER_POOL
850715.SI,68,0,66,0,BACKGROUND_ONLY_AFTER_POOL
850716.SI,67,1,53,1,PRECURSOR_THEN_SINGLE_COLLAPSE
850721.SI,32,0,29,0,BACKGROUND_ONLY_AFTER_POOL
850725.SI,75,0,35,0,BACKGROUND_ONLY_AFTER_POOL
850726.SI,7,0,7,0,BACKGROUND_ONLY_AFTER_POOL
850727.SI,75,0,40,0,BACKGROUND_ONLY_AFTER_POOL
850728.SI,32,0,30,0,BACKGROUND_ONLY_AFTER_POOL
850731.SI,70,0,34,0,BACKGROUND_ONLY_AFTER_POOL
850741.SI,44,0,44,0,BACKGROUND_ONLY_AFTER_POOL
850751.SI,75,1,35,1,PRECURSOR_THEN_SINGLE_COLLAPSE
850771.SI,66,0,47,0,BACKGROUND_ONLY_AFTER_POOL
850772.SI,21,0,21,0,BACKGROUND_ONLY_AFTER_POOL
850781.SI,42,0,35,0,BACKGROUND_ONLY_AFTER_POOL
850782.SI,48,0,43,0,BACKGROUND_ONLY_AFTER_POOL
850783.SI,56,0,56,0,BACKGROUND_ONLY_AFTER_POOL
850784.SI,35,0,33,0,BACKGROUND_ONLY_AFTER_POOL
850812.SI,52,0,52,0,BACKGROUND_ONLY_AFTER_POOL
850813.SI,54,1,33,1,PRECURSOR_THEN_SINGLE_COLLAPSE
850814.SI,57,0,30,0,BACKGROUND_ONLY_AFTER_POOL
850815.SI,62,0,42,0,BACKGROUND_ONLY_AFTER_POOL
850817.SI,27,0,27,0,BACKGROUND_ONLY_AFTER_POOL
850818.SI,63,0,54,0,BACKGROUND_ONLY_AFTER_POOL
