mainline_id,total_rows,true_collapse_pct,diffusion_warning_pct,low_diffusion_bg_pct,suspected_background_noise
BK0737,55,1.82,47.27,50.91,False
BK0454,57,1.75,71.93,26.32,False
851564.SI,164,1.22,89.02,9.76,False
857221.SI,257,0.78,74.32,24.9,False
857344.SI,386,0.78,60.62,38.6,False
850333.SI,279,0.72,53.76,45.52,False
851316.SI,145,0.69,80.0,19.31,False
850324.SI,179,0.56,97.21,2.23,False
857382.SI,189,0.53,73.54,25.93,False
859633.SI,189,0.53,79.37,20.11,False
850813.SI,203,0.49,67.98,31.53,False
857261.SI,415,0.48,59.52,40.0,False
859714.SI,244,0.41,99.18,0.41,False
850716.SI,564,0.35,53.72,45.92,False
850832.SI,285,0.35,73.33,26.32,False
851631.SI,295,0.34,62.03,37.63,False
851614.SI,317,0.32,81.39,18.3,False
851532.SI,330,0.3,71.21,28.48,False
850711.SI,329,0.3,62.61,37.08,False
850442.SI,368,0.27,98.91,0.82,False
859721.SI,402,0.25,65.42,34.33,False
850614.SI,418,0.24,83.25,16.51,False
851811.SI,1231,0.24,31.84,67.91,False
850922.SI,430,0.23,71.4,28.37,False
857421.SI,567,0.18,35.45,64.37,False
857451.SI,766,0.13,33.03,66.84,False
850751.SI,1094,0.09,36.01,63.89,False
BK1029,2,0.0,100.0,0.0,False
801040.SI,142,0.0,47.18,52.82,False
BK0735,44,0.0,100.0,0.0,False
BK0738,2,0.0,100.0,0.0,False
BK0739,31,0.0,83.87,16.13,False
BK0740,2,0.0,100.0,0.0,False
BK0910,94,0.0,43.62,56.38,False
BK1015,11,0.0,90.91,9.09,False
BK1016,4,0.0,100.0,0.0,False
BK1017,22,0.0,100.0,0.0,False
BK1018,22,0.0,81.82,18.18,False
BK1019,24,0.0,70.83,29.17,False
BK1020,31,0.0,90.32,9.68,False
BK1027,61,0.0,96.72,3.28,False
BK1028,66,0.0,100.0,0.0,False
BK1046,3,0.0,100.0,0.0,False
801980.SI,42,0.0,47.62,52.38,False
850111.SI,77,0.0,83.12,16.88,False
850113.SI,129,0.0,98.45,1.55,False
850122.SI,56,0.0,100.0,0.0,False
850135.SI,269,0.0,69.89,30.11,False
850136.SI,52,0.0,98.08,1.92,False
850142.SI,43,0.0,97.67,2.33,False
850151.SI,23,0.0,95.65,4.35,False
850152.SI,119,0.0,100.0,0.0,False
850154.SI,94,0.0,85.11,14.89,False
850172.SI,148,0.0,100.0,0.0,False
850173.SI,105,0.0,87.62,12.38,False
850181.SI,170,0.0,94.12,5.88,False
850232.SI,59,0.0,98.31,1.69,False
850233.SI,5,0.0,100.0,0.0,False
850322.SI,274,0.0,92.34,7.66,False
850323.SI,118,0.0,81.36,18.64,False
850325.SI,269,0.0,99.26,0.74,False
850326.SI,198,0.0,97.98,2.02,False
850331.SI,361,0.0,100.0,0.0,False
850332.SI,64,0.0,84.38,15.62,False
850335.SI,223,0.0,85.65,14.35,False
850337.SI,186,0.0,87.1,12.9,False
850338.SI,133,0.0,91.73,8.27,False
850339.SI,714,0.0,33.61,66.39,False
850341.SI,102,0.0,87.25,12.75,False
850343.SI,158,0.0,98.73,1.27,False
850351.SI,201,0.0,85.07,14.93,False
850353.SI,167,0.0,88.02,11.98,False
850354.SI,160,0.0,96.88,3.12,False
850355.SI,294,0.0,86.39,13.61,False
850362.SI,63,0.0,90.48,9.52,False
850363.SI,160,0.0,95.62,4.38,False
850372.SI,115,0.0,100.0,0.0,False
850381.SI,136,0.0,75.74,24.26,False
850382.SI,52,0.0,90.38,9.62,False
850521.SI,301,0.0,94.68,5.32,False
850522.SI,184,0.0,85.87,14.13,False
850523.SI,64,0.0,100.0,0.0,False
850531.SI,89,0.0,61.8,38.2,False
850544.SI,217,0.0,64.52,35.48,False
850551.SI,700,0.0,65.43,34.57,False
850552.SI,375,0.0,98.13,1.87,False
850553.SI,338,0.0,81.07,18.93,False
850615.SI,143,0.0,96.5,3.5,False
850616.SI,68,0.0,86.76,13.24,False
850623.SI,126,0.0,100.0,0.0,False
850702.SI,175,0.0,89.71,10.29,False
