trade_date,tracked_mainline_count,danger_ratio,tc_ratio,diffusion_warning_ratio,low_diffusion_background_ratio,market_regime,p12c_noise_flag,p12c_tc_sparse_flag,p12c_meta_comment
2025-01-02,152,82.24,0.00,82.24,17.76,RANGE_CHOP_HIGH,YES,YES,danger_ratio=82.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-01-03,153,98.04,0.00,98.04,1.96,DEFENSIVE_SHIFT,YES,YES,danger_ratio=98.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-01-06,153,72.55,0.00,72.55,27.45,RANGE_CHOP_HIGH,YES,YES,danger_ratio=72.5% > 50.0%; tc_ratio=0.00% < 1.0%
2025-01-07,146,72.60,0.00,72.60,27.40,RANGE_CHOP_HIGH,YES,YES,danger_ratio=72.6% > 50.0%; tc_ratio=0.00% < 1.0%
2025-01-08,147,91.84,0.00,91.84,8.16,RANGE_CHOP_HIGH,YES,YES,danger_ratio=91.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-01-09,149,83.22,0.00,83.22,16.78,RANGE_CHOP_HIGH,YES,YES,danger_ratio=83.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-01-10,150,96.00,0.00,96.00,4.00,DEFENSIVE_SHIFT,YES,YES,danger_ratio=96.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-01-13,158,70.25,0.00,70.25,29.75,RANGE_CHOP_HIGH,YES,YES,danger_ratio=70.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-01-14,150,65.33,0.00,65.33,34.67,RANGE_CHOP_MID,YES,YES,danger_ratio=65.3% > 50.0%; tc_ratio=0.00% < 1.0%
2025-01-15,142,98.59,0.00,98.59,1.41,DEFENSIVE_SHIFT,YES,YES,danger_ratio=98.6% > 50.0%; tc_ratio=0.00% < 1.0%
2025-01-16,144,63.19,0.00,63.19,36.81,RANGE_CHOP_MID,YES,YES,danger_ratio=63.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-01-17,151,86.75,0.00,86.75,13.25,RANGE_CHOP_HIGH,YES,YES,danger_ratio=86.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-01-20,140,58.57,0.00,58.57,41.43,RANGE_CHOP_MID,YES,YES,danger_ratio=58.6% > 50.0%; tc_ratio=0.00% < 1.0%
2025-01-21,141,93.62,0.00,93.62,6.38,RANGE_CHOP_HIGH,YES,YES,danger_ratio=93.6% > 50.0%; tc_ratio=0.00% < 1.0%
2025-01-22,143,90.21,0.00,90.21,9.79,RANGE_CHOP_HIGH,YES,YES,danger_ratio=90.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-01-23,146,75.34,0.00,75.34,24.66,RANGE_CHOP_HIGH,YES,YES,danger_ratio=75.3% > 50.0%; tc_ratio=0.00% < 1.0%
2025-01-24,146,62.33,0.00,62.33,37.67,RANGE_CHOP_MID,YES,YES,danger_ratio=62.3% > 50.0%; tc_ratio=0.00% < 1.0%
2025-01-27,145,91.03,0.00,91.03,8.97,RANGE_CHOP_HIGH,YES,YES,danger_ratio=91.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-02-05,143,67.83,0.00,67.83,32.17,RANGE_CHOP_MID,YES,YES,danger_ratio=67.8% > 50.0%; tc_ratio=0.00% < 1.0%
2025-02-06,139,61.87,0.00,61.87,38.13,RANGE_CHOP_MID,YES,YES,danger_ratio=61.9% > 50.0%; tc_ratio=0.00% < 1.0%
2025-02-07,135,80.00,0.00,80.00,20.00,RANGE_CHOP_HIGH,YES,YES,danger_ratio=80.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-02-10,134,72.39,0.00,72.39,27.61,RANGE_CHOP_HIGH,YES,YES,danger_ratio=72.4% > 50.0%; tc_ratio=0.00% < 1.0%
2025-02-11,140,92.14,0.00,92.14,7.86,RANGE_CHOP_HIGH,YES,YES,danger_ratio=92.1% > 50.0%; tc_ratio=0.00% < 1.0%
2025-02-12,138,65.94,0.00,65.94,34.06,RANGE_CHOP_MID,YES,YES,danger_ratio=65.9% > 50.0%; tc_ratio=0.00% < 1.0%
2025-02-13,142,98.59,0.00,98.59,1.41,DEFENSIVE_SHIFT,YES,YES,danger_ratio=98.6% > 50.0%; tc_ratio=0.00% < 1.0%
2025-02-14,147,79.59,0.00,79.59,20.41,RANGE_CHOP_HIGH,YES,YES,danger_ratio=79.6% > 50.0%; tc_ratio=0.00% < 1.0%
2025-02-17,145,74.48,0.00,74.48,25.52,RANGE_CHOP_HIGH,YES,YES,danger_ratio=74.5% > 50.0%; tc_ratio=0.00% < 1.0%
2025-02-18,147,92.52,0.00,92.52,7.48,RANGE_CHOP_HIGH,YES,YES,danger_ratio=92.5% > 50.0%; tc_ratio=0.00% < 1.0%
2025-02-19,148,60.14,0.00,60.14,39.86,RANGE_CHOP_MID,YES,YES,danger_ratio=60.1% > 50.0%; tc_ratio=0.00% < 1.0%
2025-02-20,147,88.44,0.00,88.44,11.56,RANGE_CHOP_HIGH,YES,YES,danger_ratio=88.4% > 50.0%; tc_ratio=0.00% < 1.0%
2025-02-21,149,82.55,0.00,82.55,17.45,RANGE_CHOP_HIGH,YES,YES,danger_ratio=82.5% > 50.0%; tc_ratio=0.00% < 1.0%
2025-02-24,149,76.51,0.00,76.51,23.49,RANGE_CHOP_HIGH,YES,YES,danger_ratio=76.5% > 50.0%; tc_ratio=0.00% < 1.0%
2025-02-25,154,90.91,0.00,90.91,9.09,RANGE_CHOP_HIGH,YES,YES,danger_ratio=90.9% > 50.0%; tc_ratio=0.00% < 1.0%
2025-02-26,147,60.54,0.00,60.54,39.46,RANGE_CHOP_MID,YES,YES,danger_ratio=60.5% > 50.0%; tc_ratio=0.00% < 1.0%
